position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
8060.0,877.8470222794476,0.95,274.89556241746607,3870661.313381185,82562.71901585083,838.4455708244936,0,0,604476.5565312564,4557700.588928292,122.51751464053207,0.2975255872753187,1315.7710447412687,68265.70143483525,2472.2,0.40009195258333075,773.15,0.844192079383487,7.523971155959741e-06,-0.0014610738582586668,0.005149617258176763,0.03507383356915024,0.017453292519943295,700.0789558222302,14.281999999999988,205.33248908346152,6045.009067402369
8070.0,877.812789747229,0.95,275.01443228988245,3873647.888378836,82637.0883233855,838.4219143693215,0,0,605012.0174675841,4561296.994169806,122.63117567947401,0.2976008269868783,1315.756434002686,68326.39102737803,2472.2,0.39972112626815465,773.15,0.8442421686515216,7.529908195652087e-06,-0.0014622267671827076,0.005149617258176763,0.03506897581426288,0.017453292519943295,700.0789558222302,14.281999999999988,205.48051130489264,6045.009067402369
8080.0,877.7785505697788,0.95,275.13351991037274,3876640.005852229,82711.59489712732,838.3982558294135,0,0,605548.4772547522,4564900.078004109,122.74504915255793,0.2976761260688348,1315.7418117350142,68387.19076085706,2472.2,0.3993502955647786,773.15,0.844292261484339,7.5358562605398195e-06,-0.001463381817080501,0.005149617258176763,0.03506411767051325,0.017453292519943295,700.0789558222302,14.281999999999988,205.6287196591227,6045.009067402369
8090.0,877.7443047382739,0.95,275.2528258883804,3879637.681666849,82786.23912824669,838.3745952004567,0,0,606085.9387585734,4568509.85955367,122.85913566958318,0.2977514846314402,1315.7271779168434,68448.10094496097,2472.2,0.3989794604287044,773.15,0.8443423578882328,7.54181538219081e-06,-0.0014645390140821865,0.005149617258176763,0.035059259136917854,0.017453292519943295,700.0789558222302,14.281999999999988,205.7771145423019,6045.009067402369
8100.0,877.7100522438673,0.95,275.3723508356562,3882640.931749592,82861.02140942415,838.3509324781267,0,0,606624.4048559772,4572126.358014993,122.97343584271545,0.2978269027852621,1315.7125325267025,68509.12189056145,2472.2,0.3986086208153301,773.15,0.8443924578695114,7.547785592295149e-06,-0.0014656983643416372,0.005149617258176763,0.035054400212490316,0.017453292519943295,700.0789558222302,14.281999999999988,205.925696351809,6045.009067402369
8110.0,877.6757930776891,0.95,275.4920953662781,3885649.7720890525,82935.94213485747,838.3272676580874,0,0,607163.8784350593,4575749.59265897,123.08795028649733,0.297902380641185,1315.6978755430591,68570.25390971816,2472.2,0.3982377766799531,773.15,0.8444425614344989,7.553766922665725e-06,-0.0014668598740365721,0.005149617258176763,0.03504954089624163,0.017453292519943295,700.0789558222302,14.281999999999988,206.07446548625646,6045.009067402369
8120.0,877.6415272308459,0.95,275.6120600966534,3888664.218735849,83011.00170026945,838.3036007359906,0,0,607704.3623951409,4579379.58283126,123.20267961786121,0.29797791831041165,1315.6832069443187,68631.49731568531,2472.2,0.39786692797776535,773.15,0.8444926685895349,7.559759405238862e-06,-0.0014680235493686798,0.005149617258176763,0.03504468118717992,0.017453292519943295,700.0789558222302,14.281999999999988,206.2234223454953,6045.009067402369
8130.0,877.6072546944209,0.95,275.73224564553567,3891684.2878028722,83086.20050291423,838.2799317074769,0,0,608245.8596468148,4583016.3479526015,123.31762445613863,0.29805351590446405,1315.668526708825,68692.85242291604,2472.2,0.3974960746638613,773.15,0.8445427793409735,7.56576307207482e-06,-0.0014691893965637166,0.005149617258176763,0.03503982108431067,0.017453292519943295,700.0789558222302,14.281999999999988,206.3725673306204,6045.009067402369
8140.0,877.5729754594736,0.95,275.8526526340338,3894709.9954656637,83161.5389415865,838.2562605681741,0,0,608788.3731120129,4586659.907519263,123.43278542307523,0.2981291735351848,1315.6538348148595,68754.31954707009,2472.2,0.39712521669322653,773.15,0.8445928936951852,7.571777955358548e-06,-0.0014703574218716514,0.005149617258176763,0.03503496058663641,0.017453292519943295,700.0789558222302,14.281999999999988,206.5219008439753,6045.009067402369
8150.0,877.5386895170403,0.95,275.9732816856249,3897741.3579626638,83237.01741662736,838.232587313699,0,0,609331.9057240504,4590310.281103341,123.54816314283964,0.2982048913147384,1315.6391312406408,68815.89900501793,2472.2,0.39675435402074766,773.15,0.844643011658555,7.577804087400175e-06,-0.0014715276315667618,0.005149617258176763,0.03503009969315708,0.017453292519943295,700.0789558222302,14.281999999999988,206.67142328915745,6045.009067402369
