position,flowgofluxconductionheat,effective_temperature_snyder,characteristic_surface_temperature,effective_radiation_temperature,flowgofluxforcedconvectionheat,flowgofluxradiationheat,flowgofluxsnyderheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
37440.0,456474.9761869941,814.4874568901964,0,0,0,0,10297527.285126481,10754002.261313476,733.7697959146559,0.42232611986211727,1291.5361305078573,368151.69548560807,2472.2,0.06454572395815754,773.15,0.8907532450126682,1.7754838885360933e-05,-0.0034477977673329227,0.005149617258176763,0.013352436177229364,0.0174532925199433,700.0059658460069,14.779999999999987,557.1985688635747,5656.3591141915995
37450.0,457812.7901007021,814.4732886704458,0,0,0,0,10327522.357782101,10785335.147882804,735.9692410258112,0.42250366825097085,1291.501652530184,369179.2649521045,2472.2,0.0643528289713944,773.15,0.8907807369305751,1.780656942617112e-05,-0.0034578432791091715,0.005149617258176763,0.013351319829023885,0.0174532925199433,700.0059658460069,14.779999999999987,557.8664397609509,5656.3591141915995
37460.0,459159.20015933475,814.4591062273429,0,0,0,0,10357711.428576613,10816870.628735948,738.1829416971616,0.42268173394523256,1291.467074097393,370213.2502543423,2472.2,0.0641598444242715,773.15,0.8908082424619608,1.7858634449788808e-05,-0.0034679537438306062,0.005149617258176763,0.013350202360484497,0.0174532925199433,700.0059658460069,14.779999999999987,558.5367782618148,5656.3591141915995
37470.0,460514.29220957117,814.444909477013,0,0,0,0,10388096.442054065,10848610.734263636,740.4110410206703,0.4228603202897305,1291.4323945599547,371253.7142328827,2472.2,0.06396676990479773,773.15,0.8908357616667562,1.7911037308385532e-05,-0.0034781298124526997,0.005149617258176763,0.013349083764730747,0.017453292519943295,700.0059658460069,14.779999999999987,559.2096017140772,5656.359114191599
37480.0,461878.15326355695,814.4306983347808,0,0,0,0,10418679.369224945,10880557.522488503,742.653684037815,0.42303943066281435,1291.3976132618302,372300.72056908003,2472.2,0.06377360499773589,773.15,0.8908632946053633,1.7963781399753053e-05,-0.0034883721447898793,0.005149617258176763,0.01334796403481607,0.0174532925199433,700.0059658460069,14.779999999999987,559.8849276481026,5656.3591141915995
37490.0,463250.8715189346,814.4164727151601,0,0,0,0,10449462.208021924,10912713.079540858,744.9110177731849,0.4232190684768119,1291.3627295403824,373354.3337993652,2472.2,0.06358034928456643,773.15,0.8908908413386599,1.801687016808886e-05,-0.003498681409668062,0.005149617258176763,0.013346843163726878,0.017453292519943295,700.0059658460069,14.779999999999987,560.5627737792762,5656.359114191599
37500.0,464632.536379298,814.4022325318431,0,0,0,0,10480446.98376527,10945079.520144569,747.1831912687882,0.4233992371784928,1291.3277427262856,374414.6193298281,2472.2,0.0633870023434498,773.15,0.8909184019280049,1.8070307104798346e-05,-0.0035090582850804313,0.005149617258176763,0.013345721144381713,0.0174532925199433,700.0059658460069,14.779999999999987,561.2431580106145,5656.3591141915995
37510.0,466023.2384750709,814.3879776976895,0,0,0,0,10511635.74963791,10977658.98811298,749.4703556190725,0.4235799402495408,1291.2926521434347,375481.6434510999,2472.2,0.06319356374918868,773.15,0.8909459764352438,1.812409574931359e-05,-0.003519503458346432,0.005149617258176763,0.013344597969630317,0.017453292519943295,700.0059658460069,14.779999999999987,561.9260984354236,5656.359114191599
37520.0,467423.06968483946,814.3737081247154,0,0,0,0,10543030.58717083,11010453.656855669,751.7726640067084,0.42376118120703393,1291.2574571088512,376555.4733535563,2472.2,0.06300003307318759,773.15,0.8909735649227151,1.8178239689929994e-05,-0.003530017626274239,0.005149617258176763,0.013343473632252733,0.0174532925199433,700.0059658460069,14.779999999999987,562.6116133400033,5656.3591141915995
37530.0,468832.12315711385,814.3594237240819,0,0,0,0,10574633.606738284,11043465.729895398,754.0902717390965,0.42394296360393324,1291.2221569325884,377636.1771428241,2472.2,0.06280640988341431,773.15,0.8910011674532551,1.8232742564659773e-05,-0.003540601495326495,0.005149617258176763,0.013342348124958327,0.017453292519943295,700.0059658460069,14.779999999999987,563.2997212064016,5656.359114191599
